질병명,항목,내용
경부 채찍질 손상 - 척추 인대 염좌,경부 채찍질 손상 - 척추 인대 염좌자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 증상이 있는 부위에 열을 가합니다
경부 채찍질 손상 - 척추 인대 염좌,경부 채찍질 손상 - 척추 인대 염좌증상,목 통증 목 근육의 고통스러운 경련 - 사경 목 뒤쪽의 뼈가 튀어나온 부위에 통증이 있음 두통 통증 때문에 목의 움직임이 제한됨
경부 채찍질 손상 - 척추 인대 염좌,병원을 꼭 방문해야 하는경부 채찍질 손상 - 척추 인대 염좌증상,진통제로도 멈추지 않는 통증 목 움직임의 제한 팔 쪽으로 퍼지는 통증입니다
경추 추간판 탈출증 - 추간판 이탈로 인한 경추 신경근병증,경추 추간판 탈출증 - 추간판 이탈로 인한 경추 신경근병증자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 있는 부위에 열을 가합니다 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 체중이 늘지 않도록 노력합니다 "균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 일주일에 3번 규칙적으로 운동합니다 비만 또는 과체중인 경우 체중을 감량합니다
경추 추간판 탈출증 - 추간판 이탈로 인한 경추 신경근병증,경추 추간판 탈출증 - 추간판 이탈로 인한 경추 신경근병증증상,경부 통증 목을 움직이면 통증이 느껴짐 팔 이두근의 쇠약 "팔 팔뚝 및/또는 손이 저림" 승모근 통증
경추 추간판 탈출증 - 추간판 이탈로 인한 경추 신경근병증,병원을 꼭 방문해야 하는경추 추간판 탈출증 - 추간판 이탈로 인한 경추 신경근병증증상,진통제로도 멈추지 않는 통증 발열(38ºC를 초과하는 체온) 사지를 움직일 수 없음
경화성 태선,경화성 태선자가 관리 방법,"보습제 크림 또는 코르티코스테로이드가 함유된 연고를 바릅니다" "가려움증이 있는 경우 시럽 또는 항히스타민제 알약(디펜히드라민 세티리진 로라타딘 데스로라타딘)을 복용합니다" 성교 중 윤활제를 사용합니다
경화성 태선,경화성 태선증상,하얗고 매끄러운 피부 패치 질 가려움증 내부 음순이 붙고 융합됨 성관계 중 통증이 있음 납작한 피부 병변
경화성 태선,병원을 꼭 방문해야 하는경화성 태선증상,공막 부위 파열 상처에 출혈이 있습니다
계란 알레르기 (소아청소년과),계란 알레르기 (소아청소년과)자가 관리 방법,"가려움증이 있는 경우 시럽 또는 항히스타민제 알약(디펜히드라민 세티리진 로라타딘 데스로라타딘)을 복용합니다" 달걀 섭취 또는 달걀이 함유된 제품 섭취를 피하세요
계란 알레르기 (소아청소년과),계란 알레르기 (소아청소년과)증상,복부 팽만감 코안 쪽이 부어 있음 피부 발진 입 주위의 붉어짐 및/또는 발진 피부에 부푼 자국/두드러기
계란 알레르기 (소아청소년과),병원을 꼭 방문해야 하는계란 알레르기 (소아청소년과)증상,혀 또는 인두 염증 호흡곤란 또는 침흘림 구토물 의식수준 상실
고관절 골관절염- 고관절증,고관절 골관절염- 고관절증자가 관리 방법,"지팡이 보행기 또는 목발을 사용하여 걷습니다" 일주일에 3번 규칙적으로 운동합니다 "통증이 있는 경우 파라세타몰 이부프로펜 또는 디클로페낙과 같은 진통제를 복용합니다." 비만 또는 과체중인 경우 체중을 감량합니다
고관절 골관절염- 고관절증,고관절 골관절염- 고관절증증상,서혜부 통증 하지 통증 한쪽 다리의 이동성이 감소함 걸을 때와 쉴 때 다리에 통증이 있음 편측 고관절 통증
고관절 골관절염- 고관절증,병원을 꼭 방문해야 하는고관절 골관절염- 고관절증증상,진통제로도 멈추지 않는 통증 1시간 넘게 지속되는 관절 강직 발열(38ºC를 초과하는 체온) 돌발성 낙상
고관절의 선천성 탈구 또는 고관절 형성이상 (소아청소년과),고관절의 선천성 탈구 또는 고관절 형성이상 (소아청소년과)자가 관리 방법,파블릭 하네스 또는 수상석고붕대에 대해 일반의와 상의하세요.
고관절의 선천성 탈구 또는 고관절 형성이상 (소아청소년과),고관절의 선천성 탈구 또는 고관절 형성이상 (소아청소년과)증상,다리를 바깥쪽으로 돌리기 어려움 한쪽 다리가 다른 쪽 다리보다 긺 한쪽 다리의 이동성이 감소함 태어날 때부터 절뚝거림 최근에 절뚝거리기 시작함
고관절의 선천성 탈구 또는 고관절 형성이상 (소아청소년과),병원 방문 필요 증상,없음
고래회충 중독 (소아청소년과),고래회충 중독 (소아청소년과)자가 관리 방법,"가려움증을 완화하기 위해 항히스타민제(디펜히드라민 데스로라타딘 로라타딘 또는 세티리진)를 복용합니다" 해산물은 63°C 온도에서 조리합니다 생선이 굳을 때까지 -35°C(-31°F) 이하에서 얼린 후 같은 온도에서 15시간 동안 보관합니다
고래회충 중독 (소아청소년과),고래회충 중독 (소아청소년과)증상,피부 발진 피부에 부푼 자국/두드러기 피부 가려움 코안 쪽이 부어 있음 종창
고래회충 중독 (소아청소년과),병원을 꼭 방문해야 하는고래회충 중독 (소아청소년과)증상,발열(38ºC를 초과하는 체온) 장을 비우거나 가스를 배출할 수 없음 일상적인 활동을 할 수 없을 정도의 극심한 복통 대변과 함께 구토 "면역 결핍 병력(HIV 당뇨병 종양학적 장애 코르티코스테로이드 장기 사용)입니다."
고막파열 또는 고막천공,고막파열 또는 고막천공자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 샤워할 때 바셀린이 발린 솜을 귀에 넣어 귀를 건조하게 유지합니다 코를 풀지 마세요
고막파열 또는 고막천공,고막파열 또는 고막천공증상,귀에서 체액 배출 이도의 고름 부분 청력 소실 귀를 통한 출혈 귀에 물이 찬 느낌
고막파열 또는 고막천공,병원을 꼭 방문해야 하는고막파열 또는 고막천공증상,발열(38ºC를 초과하는 체온) 희끄무레한 액체(고름) 분비
고산 기침,고산 기침자가 관리 방법,하루에 물 2리터를 섭취합니다. 높은 고도로 이동 중지
고산 기침,고산 기침증상,기침 마른 기침 코피
고산 기침,병원을 꼭 방문해야 하는고산 기침증상,기침을 하면 피 또는 고름이 나옵니다 호흡곤란 호흡곤란 감각 두근거림
고삼투성 고혈당 상태,고삼투성 고혈당 상태증상,혼수 혈당 400mg/dL 또는 22.2mmol/L 이상 의식 소실 감소 건성 피부 탈수 징후
고삼투성 고혈당 상태,병원 방문 필요 증상,없음
고삼투성 고혈당 상태,자가 관리 방법,없음
고소 뇌부종 - HACO,고소 뇌부종 - HACO자가 관리 방법,"제한 높이 아래로 하강합니다(2500미터 미만)"
고소 뇌부종 - HACO,고소 뇌부종 - HACO증상,"개구 편위 발음 변화 근력이나 감각의 변화" 혼수 움직임을 조정하기 어려움 기분 및/또는 행동 변화 지속적 두통
고소 뇌부종 - HACO,병원 방문 필요 증상,없음
고소 뇌졸중,고소 뇌졸중자가 관리 방법,"제한 높이 아래로 하강합니다(2500미터 미만)" 하루에 물 2리터를 섭취합니다.
고소 뇌졸중,고소 뇌졸중증상,"개구 편위 발음 변화 근력이나 감각의 변화" 맥박 산소 측정기 포화도가 80% 미만임 기분 및/또는 행동 변화 환각 의식 소실 감소
고소 뇌졸중,병원 방문 필요 증상,없음
고소 말초부종,고소 말초부종자가 관리 방법,이뇨제에 대해 일반의와 상의하세요.
고소 말초부종,고소 말초부종증상,다리가 붓고 압력을 가하면 눌림 부은 뺨 부은 눈꺼풀 눈 주위에 부기가 있음 사지 종창
고소 말초부종,병원을 꼭 방문해야 하는고소 말초부종증상,호흡곤란 기침을 하면 피 또는 고름이 나옵니다 호흡곤란 감각 가슴의 통증
고소 폐부종 - HAPO,고소 폐부종 - HAPO자가 관리 방법,"제한 높이 아래로 하강합니다(2500미터 미만)"
고소 폐부종 - HAPO,고소 폐부종 - HAPO증상,호흡이 곤란한 느낌 맥박 산소 측정기 포화도가 80% 미만임 숨을 쉴 때 보글거리는 소리가 남 분홍색 가래 생성 기침
고소 폐부종 - HAPO,병원 방문 필요 증상,없음
고소 폐색전증,고소 폐색전증자가 관리 방법,"제한 높이 아래로 하강합니다(2500미터 미만)"
고소 폐색전증,고소 폐색전증증상,갑작스런 숨가쁨 "종아리가 딱딱하고 화끈거리고 통증이 있음" 손톱 및/또는 입술이 푸르스름함 분홍색 가래 생성 흉통
고소 폐색전증,병원 방문 필요 증상,없음
고쉐병,고쉐병증상,골 통증 성장 지연 국소 복통 피부 표면의 멍 코피
고쉐병,병원 방문 필요 증상,없음
고쉐병,자가 관리 방법,없음
고칼슘혈증,고칼슘혈증자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 하루에 물 2리터를 섭취합니다. 이뇨제에 대해 일반의와 상의하세요.
고칼슘혈증,고칼슘혈증증상,의식 소실 감소 움직임을 조정하기 어려움 많은 양의 소변을 배출 지침/피로 느린 심박수 - 서맥
고칼슘혈증,병원을 꼭 방문해야 하는고칼슘혈증증상,발작을 동반하는 경우 의식수준 상실 근육 쇠약 24시간 동안 500ml 청량음료 한 병보다 적은 양의 소변을 봅니다
고혈당성 고삼투성 비케톤성 증후군,고혈당성 고삼투성 비케톤성 증후군증상,혈당 수치가 600mg/dL/33.3mmol/L 이상임 탈수 징후 혈당 400mg/dL 또는 22.2mmol/L 이상 건성 피부 졸림증
고혈당성 고삼투성 비케톤성 증후군,병원 방문 필요 증상,없음
고혈당성 고삼투성 비케톤성 증후군,자가 관리 방법,없음
고혈압,고혈압자가 관리 방법,"균형 잡힌 식사(과일 채소 흰살 생선 섭취를 늘리고 기름진 음식과 튀긴 음식 섭취 줄이기)를 유지합니다" 하루에 5g 미만의 소금을 섭취합니다 "일주일에 2~3회 하루 중 다른 시간대에 혈압을 확인하고 기록합니다" 일주일에 3번 규칙적으로 운동합니다 심리적 스트레스를 유발하는 상황을 줄입니다 항고혈압제에 대해 일반의와 상의하세요 담배 소비량을 줄입니다 알코올 소비량을 줄입니다 비만 또는 과체중인 경우 체중을 감량합니다 "불안 수준을 낮추는 데 도움이 되는 활동(요가 태극권 명상)에 자주 참여합니다."
고혈압,고혈압증상,상담 시점에 고혈압이 있음 "과체중 또는 비만 BMI 25~29.9" 비만이며 BMI가 30 이상임 불안 어지러움
고혈압,병원을 꼭 방문해야 하는고혈압증상,호흡곤란 감각 두통 혈압이 180/120mmHg보다 높은 경우 사지의 민감성 및/또는 운동성 가슴의 통증 과도한 발한 호흡곤란
고혈압위기,고혈압위기자가 관리 방법,증상이 최소화될 때까지 부분적으로 휴식을 취합니다.
고혈압위기,고혈압위기증상,상담 시점에 고혈압이 있음 흉통 두통 호흡이 곤란한 느낌 코피
고혈압위기,병원 방문 필요 증상,없음
고환암 - 고환 종양 형성,고환암 - 고환 종양 형성증상,고환 크기 증가 고환을 둘러싼 음낭 내 체액 음낭이 커짐 음낭에서 무거운 느낌이 남 생식기 불편감
고환암 - 고환 종양 형성,병원 방문 필요 증상,없음
고환암 - 고환 종양 형성,자가 관리 방법,없음
고환 염증 - 고환염,고환 염증 - 고환염자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 증상이 최소화될 때까지 부분적으로 휴식을 취합니다. 증상을 완화하기 위해 하루 3번 20분 동안 냉찜질을 합니다
고환 염증 - 고환염,고환 염증 - 고환염증상,고환 크기 증가 "고환 부위가 고통스럽고 붓고 무거운 느낌" 음낭이 부어 있고 열감과 충혈이 있음 발열/매우 더운 느낌 감염 위험이 있는 성행위
고환 염증 - 고환염,병원 방문 필요 증상,없음
곤충물림으로 인한 피부 병변,곤충물림으로 인한 피부 병변자가 관리 방법,"진통제나 항염증제(예: 파라세타몰 이부프로펜 등)를 복용합니다." 염증을 줄이기 위해 하루 3번 병변 부위에 국소적으로 냉찜질을 합니다 의사의 지시가 없는 경우 약을 복용하지 마세요
곤충물림으로 인한 피부 병변,곤충물림으로 인한 피부 병변증상,물린 부위의 피부 변화 "피부가 붉어지고 당기고 윤기가 남" 피부가 붉어짐 종창 발열/매우 더운 느낌
곤충물림으로 인한 피부 병변,병원을 꼭 방문해야 하는곤충물림으로 인한 피부 병변증상,고열(39ºC 이상) 의식수준 상실 초기 치료 후 2주 넘게 증상이 지속됩니다
